991108  4o 4- 5- 4-  5- 4- 4+ 4+   33o D3  29 1.3
991109  4- 5- 4- 4o  4o 4+ 4o 4+   33- D4  28 1.2
991110  3+ 3+ 2+ 3+  3o 3+ 4- 4-   26o     18 1.0
991111  4- 5- 4o 4o  3+ 3+ 4o 4o   31o D5  26 1.2
991112  3o 2+ 2+ 2o  2o 2o 3o 3o   20-     10 0.6
991113  4+ 4+ 4- 3-  5o 5o 6+ 5+   37- D1  43 1.5
991114  3- 2+ 3- 2o  3- 3- 3o 3-   21-     11 0.7
991115  2+ 1- 1+ 1+  1+ 1- 1o 1o   10- Q4   5 0.2
991116  1o 1+ 2o 4-  4- 4+ 3- 3-   21+     14 0.8
991117  2o 2- 2+ 3o  3o 3o 3o 3-   21-     12 0.7
991118  3o 3o 3+ 3o  3o 3o 4- 3+   25+     17 0.9
991119  3- 3+ 2+ 2-  2o 2- 2+ 4o   20o     12 0.7
991120  3+ 3- 2+ 3-  1o 1o 1o 2-   16- Q0A  9 0.5
991121  2+ 3- 3+ 2o  1- 3- 3+ 3o   20o     12 0.7
991122  4- 2o 1+ 4-  3+ 2o 1+ 1o   18+     11 0.6
991123  2o 4o 5- 3-  3- 2+ 3- 4+   25+     19 1.0
991124  3+ 3+ 4o 5o  3o 3o 3o 2+   27o     21 1.1
991125  2o 2+ 3o 5-  4- 3o 3+ 3o   25o     18 1.0
991126  1+ 1o 1o 2-  2o 0+ 0o 0o    7+ Q2   4 0.1
991127  0o 0o 0+ 0+  1+ 0+ 0o 1-    3o Q1   2 0.0
991128  2o 2o 2+ 2+  2- 2+ 2o 3-   17+ Q9A  8 0.4
991129  2+ 1+ 1- 2-  1o 0o 0+ 1+    9- Q3   4 0.1
991130  2+ 2+ 2o 3o  3+ 1o 2+ 3-   19o     10 0.6
991201  2+ 1- 0+ 1+  1- 1+ 2o 1+   10o Q0   5 0.2
991202  2- 0+ 0+ 1-  2- 1- 2- 2+    9+ Q9   5 0.2
991203  3- 3- 2o 4o  3o 4- 3o 3o   24o     16 0.9
991204  4+ 3o 4o 5o  4+ 5o 4- 3+   33- D2  30 1.3
991205  4o 4- 4+ 4-  3- 4- 3o 3-   28- D4  20 1.0
991206  2+ 4+ 4- 3+  4- 3o 3o 2+   26- D5* 18 1.0
991207  4- 3- 3+ 3+  2+ 3o 3+ 3o   25-     16 0.9
991208  3o 2+ 4- 3-  2+ 3o 3- 3+   23o     14 0.8
991209  3+ 4- 3- 3-  2+ 2o 3o 3o   23-     14 0.8
991210  2o 3- 2o 1+  2o 3o 3+ 2o   18+     10 0.5
991211  1o 2+ 3- 2o  3+ 2o 0o 0o   13+      7 0.4
991212  1+ 3- 1- 2o  1+ 3o 4- 3+   18o     11 0.6
991213  4o 5- 6- 4o  4- 3+ 1+ 0+   27o D3  26 1.2
991214  1+ 1o 1- 0o  0o 1o 1+ 0o    5+ Q4   3 0.0
991215  0+ 0+ 0o 0o  0+ 0+ 1+ 3o    6- Q8K  4 0.1
991216  2- 2o 2o 1-  1- 1o 1+ 2-   11o      5 0.2
991217  2o 3- 2- 1+  2o 2+ 2o 1-   15-      7 0.4
991218  1o 1- 1+ 1o  1o 3- 2+ 2+   12+      6 0.3
991219  1o 2o 1- 1o  2o 1+ 1o 1o   10o Q7   5 0.2
991220  0o 0o 1- 1+  0+ 1o 1- 2-    6- Q6   3 0.1
991221  0+ 0+ 1o 1-  0o 1- 1- 0+    4o Q2   2 0.0
991222  0o 0o 0o 0o  0+ 0+ 0+ 0o    1o Q1   1 0.0
991223  0o 0o 0o 0o  1o 1+ 1- 2-    5- Q5   2 0.0
991224  2+ 4- 4o 2+  2- 1o 1+ 2o   18+     11 0.6
991225  3- 3- 3+ 1+  3+ 2o 1+ 1+   18o     10 0.6
991226  1- 0o 0o 0o  0+ 0+ 0+ 2-    3+ Q3   2 0.0
991227  3+ 3- 2- 1+  1- 1o 2- 1-   13o      7 0.4
991228  1+ 3- 1o 1+  2- 1+ 2+ 3+   15o      8 0.4
991229  3+ 3- 2o 1-  0+ 2o 1+ 3-   15o      8 0.4
991230  0+ 1o 2- 2-  1+ 2o 4o 4+   16+     11 0.6
991231  6- 4+ 4- 4-  4o 4- 5- 5+   35o D1  36 1.4
000101  5+ 5- 4o 3+  4+ 3o 4+ 4-   33- D2  30 1.3
000102  3o 3+ 3+ 3+  3- 3+ 3+ 3o   25+     16 0.9
000103  3+ 3o 3- 3-  2+ 2+ 3o 2-   21o     12 0.7
000104  2+ 2+ 2+ 3o  3+ 3- 2+ 4-   22o     13 0.7
000105  4o 3+ 3+ 3+  2+ 3o 4- 4o   27o     19 1.0
000106  3- 3+ 2o 3+  4+ 4+ 3o 3+   26+     19 1.0
000107  3+ 3o 1+ 2o  2o 2+ 3- 2o   19-     10 0.6
000108  2o 1- 1+ 2-  2- 2+ 1- 0o   10+ Q5   5 0.2
000109  1+ 1+ 0o 0o  0+ 0+ 0+ 2-    5+ Q4   3 0.0
000110  1+ 2o 1- 1-  1o 2- 2o 3o   12+ Q9K  6 0.3
000111  3o 2+ 2- 2+  4- 4- 5+ 5+   27+ D4  24 1.2
000112  4- 3o 3- 2o  1o 2o 2+ 2o   19-     10 0.6
000113  2o 2+ 2+ 3o  2+ 3- 1o 2-   17+      9 0.5
000114  3o 2+ 1o 1-  2- 2+ 2+ 2-   15o      8 0.4
000115  2o 2o 1+ 1-  2o 1+ 1+ 2-   12+ Q8   6 0.3
000116  1+ 1o 1+ 1+  2- 2- 2- 2o   12o Q7   6 0.2
000117  1+ 0+ 1o 0+  1- 0+ 1- 0o    5- Q2   3 0.0
000118  0+ 0+ 1- 1-  1o 1+ 1- 1-    6- Q3   3 0.1
000119  1- 0+ 1- 0+  1- 1+ 2o 3o    9o Q6K  5 0.2
000120  2+ 2- 2+ 2o  3o 2+ 4- 2-   19o     10 0.6
000121  1- 0o 0o 0+  1- 0+ 0o 0+    2+ Q1   2 0.0
000122  1+ 2+ 2+ 3o  3+ 3+ 5+ 5o   26o     22 1.1
000123  6+ 6- 2o 4-  4- 3- 1o 1o   26o D5  29 1.3
000124  2- 3- 4o 3+  2+ 2+ 2+ 3o   22-     13 0.8
000125  2o 3- 2o 1+  1o 1+ 2+ 2-   14+ Q0A  7 0.3
000126  2o 3o 2o 1+  1o 1o 1+ 3o   15-      8 0.4
000127  3+ 2+ 2- 2o  3o 3o 4+ 4+   24o     17 0.9
000128  5o 5o 4+ 4-  4+ 4- 3+ 4+   34- D1  32 1.3
000129  4+ 4o 4+ 4o  4+ 5- 4+ 4-   34- D3  30 1.3
000130  3- 3- 3+ 2o  3+ 3o 4- 3o   24-     15 0.8
000131  3+ 2+ 3- 2+  2+ 3- 2o 2o   20-     10 0.6
000201  2+ 1+ 2o 1-  3o 2o 2+ 3-   16+ Q0A  8 0.5
000202  2+ 1+ 1- 2-  3- 3+ 2o 2o   16o Q9A  8 0.5
000203  1o 1o 2+ 1+  3o 3- 3- 4-   18-     10 0.6
000204  2o 1+ 2o 1-  1o 1o 1- 2o   11- Q3   5 0.2
000205  1o 0+ 0+ 1o  1o 3o 4+ 4+   15+     12 0.7
000206  5- 5o 4- 4+  4o 3+ 5- 5o   35- D2  34 1.3
000207  5+ 4- 4- 4o  5- 4o 4o 4o   33+ D4  31 1.3
000208  4- 3+ 2- 3-  3o 3o 4- 3-   24-     15 0.9
000209  2- 3o 3- 1+  3o 4- 2o 2-   19o     11 0.6
000210  3- 2+ 3o 2-  2o 2+ 2o 3+   19+     10 0.6
000211  3o 4+ 3- 3-  2+ 3o 3- 4+   25o     17 0.9
000212  6o 6o 6o 7-  6- 4+ 3+ 3o   41o D1  60 1.7
000213  3+ 2o 3- 4-  3+ 3+ 2+ 3-   23+     14 0.8
000214  4- 4+ 4o 4+  5+ 5- 4o 4o   34+ D3  33 1.3
000215  4o 4o 2+ 2-  2+ 2o 4- 4+   24+     17 0.9
000216  3- 2+ 1o 1-  2o 2+ 2o 1+   14+ Q8A  7 0.4
000217  1- 1- 1o 3-  2+ 2- 2- 1-   11+ Q4   6 0.3
000218  0o 0+ 0+ 0+  0+ 0o 0+ 0o    2- Q1   1 0.0
000219  0o 0o 1+ 2o  1- 1- 1- 1-    6o Q2   3 0.1
000220  0+ 1- 2- 1o  0+ 0o 1o 4-    9- Q5K  5 0.2
000221  4- 5- 3o 3-  4- 5- 3- 2o   27o     21 1.1
000222  2o 2+ 1- 1-  2o 2- 1o 2-   12o Q6   6 0.3
000223  2o 1- 2- 3o  4o 3+ 1o 2-   17+     11 0.6
000224  3o 5- 4- 5-  4o 4o 4+ 5-   33o D5  30 1.3
000225  4- 4+ 4o 3+  4- 3+ 2+ 3o   28-     20 1.0
000226  3o 3- 3o 3+  2o 3o 4o 3+   24+     16 0.9
000227  4- 2o 2+ 3o  3+ 3o 2+ 2+   22o     13 0.7
000228  3o 4o 3o 3o  4o 3- 2o 2+   24o     16 0.9
